title,id,time,taxonomy_name,type_of_entry,type_of_taxonomy,temporalEntities,entitiesNumber
Riverine,17346,2020-02-10T13:09:47,Aesthetics,contribution,keywords,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Riverine,17346,2020-02-10T13:09:47,Habits,contribution,keywords,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Riverine,17346,2020-02-10T13:09:47,History,contribution,keywords,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Riverine,17346,2020-02-10T13:09:47,Indigenous Rights,contribution,keywords,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Riverine,17346,2020-02-10T13:09:47,Inequality,contribution,keywords,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Riverine,17346,2020-02-10T13:09:47,Violence,contribution,keywords,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Riverine,17346,2020-02-10T13:09:47,Water,contribution,keywords,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Riverine,17346,2020-02-10T13:09:47,Wisdom,contribution,keywords,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Floating and Anthropos,18339,2016-04-23T12:41:09,Aerocene,contribution,keywords,"['10, 106901', '2012', 'the twenty-second century', 'twenty-second-century', '2015', 'million years ago', 'a million years']",7
Floating and Anthropos,18339,2016-04-23T12:41:09,Aesthetics,contribution,keywords,"['10, 106901', '2012', 'the twenty-second century', 'twenty-second-century', '2015', 'million years ago', 'a million years']",7
Floating and Anthropos,18339,2016-04-23T12:41:09,Anthropos,contribution,keywords,"['10, 106901', '2012', 'the twenty-second century', 'twenty-second-century', '2015', 'million years ago', 'a million years']",7
Floating and Anthropos,18339,2016-04-23T12:41:09,Speculative,contribution,keywords,"['10, 106901', '2012', 'the twenty-second century', 'twenty-second-century', '2015', 'million years ago', 'a million years']",7
Schelling’s Segregation Model,21810,2014-11-23T09:53:41,Complexity,contribution,keywords,['1971'],1
Schelling’s Segregation Model,21810,2014-11-23T09:53:41,Migration,contribution,keywords,['1971'],1
Schelling’s Segregation Model,21810,2014-11-23T09:53:41,Model,contribution,keywords,['1971'],1
30 Days On/30 Days Off with Paul Perkinson,20478,2020-02-24T14:23:37,History,contribution,keywords,['his twenties'],1
30 Days On/30 Days Off with Paul Perkinson,20478,2020-02-24T14:23:37,Pollution,contribution,keywords,['his twenties'],1
30 Days On/30 Days Off with Paul Perkinson,20478,2020-02-24T14:23:37,Transportation,contribution,keywords,['his twenties'],1
A Brief History of Geoengineering,22468,2014-11-23T15:13:02,Climate change,contribution,keywords,[],0
A Brief History of Geoengineering,22468,2014-11-23T15:13:02,Geo-engineering,contribution,keywords,[],0
A Caribbean Taste of Technology: Creolization and the Ways-of-Making of the Dancehall Sound System,28250,2017-04-15T14:21:22,Big data,contribution,keywords,[],0
A Caribbean Taste of Technology: Creolization and the Ways-of-Making of the Dancehall Sound System,28250,2017-04-15T14:21:22,History,contribution,keywords,[],0
A Caribbean Taste of Technology: Creolization and the Ways-of-Making of the Dancehall Sound System,28250,2017-04-15T14:21:22,Settler Colonialism,contribution,keywords,[],0
A Caribbean Taste of Technology: Creolization and the Ways-of-Making of the Dancehall Sound System,28250,2017-04-15T14:21:22,Technosphere,contribution,keywords,[],0
A Curriculum for the Anthropocene,26412,2016-04-01T10:01:53,Deep time,contribution,keywords,['2016'],1
A Legacy of the Technosphere,28356,2016-11-15T14:08:42,Future,contribution,keywords,[],0
A Legacy of the Technosphere,28356,2016-11-15T14:08:42,Technosphere,contribution,keywords,[],0
