title,id,time,taxonomy_name,type_of_entry,type_of_taxonomy,temporalEntities,entitiesNumber
Riverine,17346,2020-02-10T13:09:47,Reflection,contribution,methods,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Riverine,17346,2020-02-10T13:09:47,Storytelling,contribution,methods,"['A half-century later', 'Today', '1982', 'the year', 'the 1980s', 'the past century', 'months', 'the 1990s', 'Today', 'those years']",10
Floating and Anthropos,18339,2016-04-23T12:41:09,Reflection,contribution,methods,"['10, 106901', '2012', 'the twenty-second century', 'twenty-second-century', '2015', 'million years ago', 'a million years']",7
30 Days On/30 Days Off with Paul Perkinson,20478,2020-02-24T14:23:37,Conversation,contribution,methods,['his twenties'],1
A Brief History of Geoengineering,22468,2014-11-23T15:13:02,Film,contribution,methods,[],0
A Caribbean Taste of Technology: Creolization and the Ways-of-Making of the Dancehall Sound System,28250,2017-04-15T14:21:22,Case Study,contribution,methods,[],0
A Caribbean Taste of Technology: Creolization and the Ways-of-Making of the Dancehall Sound System,28250,2017-04-15T14:21:22,Reflection,contribution,methods,[],0
A Caribbean Taste of Technology: Creolization and the Ways-of-Making of the Dancehall Sound System,28250,2017-04-15T14:21:22,Sound,contribution,methods,[],0
A Curriculum for the Anthropocene,26412,2016-04-01T10:01:53,Teaching,contribution,methods,['2016'],1
A Legacy of the Technosphere,28356,2016-11-15T14:08:42,Reflection,contribution,methods,[],0
a n t h r o p o z i n e # 0,26386,2015-04-01T08:49:20,Reflection,contribution,methods,"['2014', '8211', 'Dec. 12 2014', 'late November of 2014', 'the last day', '2015']",6
A Recipe for Crafting Color: The Revival of Natural Dyeing in South India,32016,2018-01-15T16:00:54,Experiment,contribution,methods,[],0
A Recipe for Crafting Color: The Revival of Natural Dyeing in South India,32016,2018-01-15T16:00:54,Field Work,contribution,methods,[],0
A River Indicts,28426,2020-09-04T13:28:50,Engagement,contribution,methods,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
A River Indicts,28426,2020-09-04T13:28:50,Field Study,contribution,methods,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
